Kills,Damage,Boosts,Heals,Distance,Weapons,Revives,Headshots,is_pro
0,51,0,0,588,1,0,0,0
2,179,4,2,2017,6,2,0,1
0,23,0,4,788,4,0,0,0
0,66,0,0,1812,3,0,0,0
3,330,4,1,2963,4,1,2,1
0,0,0,0,0,0,0,0,0
5,471,3,17,1000,4,0,2,1
0,69,0,0,1217,5,0,0,0
0,0,0,0,1390,7,0,0,0
0,67,0,0,1634,5,0,0,0
1,140,2,0,193,5,0,0,0
0,0,0,0,1127,5,1,0,0
3,207,0,0,2971,6,1,1,1
1,100,5,6,1454,5,0,1,0
0,0,0,0,95,2,0,0,0
0,33,2,0,2183,7,0,0,0
4,301,0,0,300,2,2,1,1
0,0,0,0,30,1,0,0,0
0,100,1,1,165,2,0,0,0
2,200,0,0,256,5,0,1,1
0,26,1,0,2168,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,5,1607,7,0,0,0
0,0,0,0,62,1,0,0,0
3,466,4,5,3626,9,2,0,1
0,22,0,0,3,0,0,0,0
2,192,1,1,1468,8,1,0,1
0,0,0,0,19,3,0,0,0
0,0,0,0,332,5,0,0,0
2,259,0,0,437,2,0,0,1
0,0,0,0,82,2,0,0,0
2,216,0,0,912,3,0,0,1
2,200,2,2,481,2,0,0,1
0,28,0,0,5117,3,0,0,0
0,0,0,0,630,3,0,0,0
1,100,0,0,526,3,0,1,0
1,100,0,1,572,5,0,0,0
0,0,1,4,3769,10,0,0,0
0,0,0,0,40,3,0,0,0
0,0,0,0,96,1,0,0,0
0,208,4,8,3368,6,0,0,0
1,100,0,0,28,1,0,0,0
1,164,0,0,3768,6,0,0,0
1,148,1,3,1770,5,0,0,0
0,0,0,0,124,3,0,0,0
3,402,6,4,4400,4,1,0,1
0,92,0,0,102,2,0,0,0
0,0,1,0,304,4,0,0,0
5,422,2,4,2940,6,0,1,1
0,66,2,0,2437,5,0,0,0
0,0,0,0,272,3,0,0,0
0,0,0,0,616,5,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0
0,0,1,1,921,10,0,0,0
2,204,6,4,2021,5,0,1,1
0,36,2,0,322,3,0,0,0
0,88,0,0,77,1,0,0,0
0,0,0,0,1931,4,0,0,0
3,273,4,1,2149,6,1,2,1
0,26,0,0,155,4,0,0,0
0,30,0,0,1517,4,0,0,0
0,74,0,0,63,1,0,0,0
2,177,2,1,1693,2,0,0,1
0,47,0,0,41,2,0,0,0
1,115,6,6,2606,6,0,1,0
0,0,0,0,0,0,0,0,0
5,444,5,10,2757,4,0,1,1
1,100,1,1,729,3,0,1,0
4,400,1,1,494,3,0,1,1
1,100,1,0,226,1,0,0,0
0,49,0,0,222,5,0,0,0
1,214,0,0,2016,6,0,1,0
0,0,0,0,18,1,0,0,0
1,142,2,2,3312,4,0,0,0
1,75,0,0,53,2,0,0,0
1,75,0,0,230,4,0,0,0
4,402,6,4,3615,3,0,0,1
1,153,0,0,396,3,0,1,0
1,100,1,0,223,1,0,0,0
0,48,0,0,85,2,0,0,0
4,406,2,1,2112,6,1,0,1
0,49,0,0,274,2,0,0,0
0,0,0,0,13,0,0,0,0
0,28,0,0,216,1,0,0,0
0,0,0,0,0,0,0,0,0
3,436,4,5,3316,8,0,0,1
0,100,0,0,41,1,0,0,0
3,340,2,5,631,3,0,1,1
2,161,3,3,3505,4,0,0,1
0,0,0,0,181,1,0,0,0
1,2,0,0,24,1,0,1,0
3,332,3,7,1441,3,2,1,1
1,99,0,0,96,2,0,1,0
2,241,0,2,1920,5,1,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,694,3,0,0,0
1,124,0,0,56,2,0,0,0
3,170,7,3,1852,7,0,1,1
0,0,0,0,109,0,0,0,0
0,0,0,0,13,0,0,0,0
2,114,2,1,1945,5,0,2,1
0,28,0,0,557,3,0,0,0
0,52,0,0,120,1,0,0,0
0,0,3,16,3859,14,0,0,0
0,0,0,0,0,1,0,0,0
3,313,4,17,3198,3,1,0,1
2,200,3,2,2481,8,0,0,1
3,186,3,0,2169,5,1,2,1
0,100,0,0,275,3,0,0,0
7,760,13,11,3379,6,0,1,1
0,0,0,0,294,2,0,0,0
1,171,2,2,3039,4,0,1,0
0,0,0,0,196,1,0,0,0
4,386,4,11,4468,4,0,2,1
0,51,0,0,869,4,0,0,0
8,321,1,5,2366,5,0,2,1
0,0,0,0,0,1,0,0,0
0,0,2,1,860,4,0,0,0
0,0,0,0,18,1,0,0,0
0,77,0,0,35,0,0,0,0
0,91,0,0,24,1,0,0,0
0,83,0,0,75,2,0,0,0
0,97,0,0,138,3,0,0,0
0,0,1,0,699,3,0,0,0
1,100,0,0,9,1,0,0,0
2,88,0,0,1947,6,1,1,1
1,27,2,0,2824,6,0,0,0
2,227,1,1,204,2,0,0,1
6,694,3,9,2510,7,1,0,1
0,45,0,0,37,2,0,0,0
0,88,4,0,1291,7,0,0,0
0,0,0,2,407,8,0,0,0
2,145,1,1,362,4,0,0,1
0,69,0,0,2429,4,0,0,0
1,176,1,0,133,3,0,0,0
2,175,0,2,2195,4,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,24,0,0,0,0
3,286,2,0,3172,4,0,0,1
0,0,0,0,0,0,0,0,0
0,84,0,0,225,3,0,0,0
0,0,0,0,184,2,0,0,0
0,0,0,0,392,2,0,0,0
1,164,1,4,5150,5,0,0,0
4,462,5,8,1380,5,0,2,1
2,200,1,1,773,7,0,1,1
2,171,2,9,1097,2,0,0,1
1,172,0,5,2252,10,0,0,0
0,133,0,0,205,2,0,0,0
2,219,6,3,3398,5,1,0,1
1,155,0,0,262,1,0,0,0
0,11,1,1,1496,5,0,0,0
3,351,1,1,3336,6,1,1,1
0,0,0,0,138,1,0,0,0
1,75,1,1,2034,3,1,0,0
1,280,1,15,2312,4,0,0,1
0,61,0,0,17,2,0,0,0
1,274,1,3,2122,3,0,0,1
0,0,0,1,2613,3,0,0,0
0,0,0,0,0,0,0,0,0
1,100,1,0,1003,4,0,0,0
12,1503,7,1,2573,7,1,1,1
0,147,0,0,35,1,0,0,0
0,60,0,0,2537,4,0,0,0
0,52,1,1,764,4,0,0,0
0,0,0,0,0,0,0,0,0
0,161,0,0,278,4,0,0,0
1,98,2,1,3150,4,0,1,0
1,254,0,0,584,3,0,1,0
5,551,3,1,3919,8,1,0,1
2,228,0,0,52,3,0,0,1
0,21,1,0,1580,6,0,0,0
2,188,0,0,2515,3,0,1,1
1,249,0,0,156,3,0,0,0
1,100,0,0,35,3,0,0,0
2,183,1,1,141,2,0,0,1
1,251,0,0,464,1,0,0,0
0,100,0,0,109,3,0,0,0
0,0,0,0,51,1,0,0,0
0,0,0,0,1147,5,0,0,0
1,15,0,0,59,2,0,0,0
0,0,1,1,2294,3,0,0,0
0,8,0,0,1052,6,0,0,0
2,158,6,5,3353,6,0,0,1
1,61,1,0,2741,7,1,0,0
0,59,0,0,1050,4,0,0,0
0,49,1,0,2309,3,0,0,0
2,193,3,2,4904,5,0,1,1
2,226,0,5,636,3,0,0,1
0,0,0,0,274,4,0,0,0
1,200,0,1,985,4,0,0,0
2,106,1,0,561,5,0,0,1
3,240,6,2,3486,4,1,0,1
0,0,1,0,1496,2,0,0,0
2,188,1,1,1547,2,0,1,1
4,522,4,11,2564,2,1,2,1
0,52,0,0,76,2,0,0,0
0,70,0,0,225,3,0,0,0
0,0,0,0,1,1,0,0,0
0,29,3,0,2102,4,0,0,0
0,0,0,0,243,1,0,0,0
1,204,2,1,907,2,0,0,0
2,316,0,2,2530,5,0,1,1
1,100,0,0,89,2,0,1,0
0,0,3,4,1040,3,2,0,0
0,53,0,0,352,2,0,0,0
0,0,0,0,134,1,0,0,0
0,0,0,0,0,1,0,0,0
2,303,2,0,1769,3,0,0,1
0,297,0,0,1129,3,0,0,1
4,375,7,17,2127,5,1,0,1
1,68,0,0,429,5,0,1,0
0,160,7,7,3955,7,0,0,0
0,0,2,6,1074,4,0,0,0
0,49,0,0,1056,5,0,0,0
0,18,1,0,3252,5,0,0,0
0,0,0,0,18,1,0,0,0
0,61,0,0,918,3,0,0,0
2,260,3,1,3344,7,0,1,1
1,203,4,2,1501,4,0,0,0
1,59,2,1,1300,4,1,1,0
0,0,2,5,683,5,0,0,0
1,200,0,5,457,2,0,0,0
4,344,0,1,226,3,0,2,1
0,100,1,1,685,6,0,0,0
1,128,0,0,861,3,0,1,0
2,195,4,7,2858,7,0,0,1
2,252,3,7,1336,4,0,0,1
1,152,0,1,1742,6,1,0,0
0,0,0,4,240,3,0,0,0
0,49,2,1,2284,4,0,0,0
0,100,0,0,204,2,0,0,0
1,96,5,2,4003,5,0,1,0
0,0,1,0,834,5,0,0,0
1,100,6,14,2754,7,0,1,0
0,297,4,7,732,8,0,0,1
0,0,0,0,17,1,0,0,0
0,146,1,0,905,4,0,0,0
0,175,0,3,498,3,1,0,0
0,216,4,6,3388,4,0,0,0
0,0,0,0,18,0,0,0,0
0,201,1,7,1578,5,1,0,0
0,0,0,0,28,2,0,0,0
4,390,0,0,1968,8,0,3,1
0,0,5,2,3400,4,0,0,0
0,0,6,3,3029,4,1,0,0
0,104,1,1,498,2,0,0,0
1,82,2,1,217,3,1,0,0
0,93,3,6,2024,3,0,0,0
0,0,0,0,1,1,0,0,0
0,0,0,0,25,1,0,0,0
0,0,0,0,115,3,0,0,0
2,200,0,0,181,2,0,0,1
0,0,1,4,184,3,0,0,0
0,53,0,0,69,1,0,0,0
2,244,2,5,2849,3,0,0,1
0,77,3,2,2594,4,0,0,0
0,0,4,4,2770,8,0,0,0
3,327,2,0,631,5,0,1,1
0,0,0,0,0,0,0,0,0
1,117,2,4,265,3,0,1,0
0,0,0,0,107,4,0,0,0
0,0,0,0,161,1,0,0,0
1,100,0,0,1363,7,0,0,0
0,222,2,6,3134,7,0,0,0
4,426,6,4,2348,3,0,3,1
1,100,0,1,99,2,0,0,0
1,220,0,0,822,4,0,1,0
0,32,5,1,2086,6,0,0,0
1,192,0,0,824,3,0,0,0
12,1285,6,12,2650,7,3,6,1
1,222,4,9,954,2,1,0,0
1,110,5,6,1415,9,1,0,0
0,0,0,0,16,1,0,0,0
0,0,0,0,137,2,0,0,0
0,0,0,0,206,2,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,66,3,0,0,0
0,83,0,0,449,5,0,0,0
0,73,0,0,125,2,0,0,0
1,100,0,0,1808,4,0,1,0
3,275,1,0,1662,4,1,1,1
0,100,0,0,3394,4,0,0,0
2,208,0,0,2370,6,0,0,1
0,0,0,0,0,0,0,0,0
0,116,1,0,2225,5,0,0,0
0,25,0,0,475,4,0,0,0
0,40,0,0,468,1,0,0,0
0,74,0,0,61,1,0,0,0
0,61,0,0,210,1,0,0,0
0,0,0,0,147,2,0,0,0
0,102,0,1,376,2,0,0,0
0,0,0,0,2,1,0,0,0
0,79,4,1,2933,5,0,0,0
2,176,0,0,197,2,0,0,1
0,0,0,0,121,2,0,0,0
0,69,0,0,224,1,0,0,0
0,0,0,0,18,1,0,0,0
0,0,0,0,56,0,0,0,0
0,23,0,1,2087,2,0,0,0
0,0,0,0,15,1,0,0,0
0,0,0,0,3053,5,0,0,0
1,100,2,1,1531,8,0,0,0
3,338,5,5,1652,7,0,2,1
4,426,4,9,2453,4,0,2,1
0,48,0,0,386,7,0,0,0
0,72,0,1,773,2,0,0,0
3,298,3,7,2116,6,2,0,1
0,19,5,18,3861,8,0,0,0
0,0,0,0,106,1,0,0,0
1,98,4,2,2283,6,0,0,0
0,0,0,0,111,3,0,0,0
1,98,2,8,1768,6,0,0,0
0,370,0,0,727,2,1,0,1
4,395,5,8,3645,7,2,2,1
0,0,0,0,276,4,0,0,0
0,66,0,0,85,2,0,0,0
0,24,0,0,557,3,0,0,0
0,0,1,1,2263,4,0,0,0
0,32,2,2,201,3,0,0,0
1,55,0,0,36,3,0,0,0
2,300,0,0,85,1,1,0,1
0,193,2,7,1974,6,0,0,0
1,112,7,4,3245,7,1,0,0
3,328,1,1,183,2,0,0,1
0,124,0,1,1599,2,0,0,0
2,298,0,0,1695,8,0,1,1
1,194,3,2,1743,7,0,0,0
0,0,0,0,1164,4,0,0,0
0,0,2,1,572,4,0,0,0
1,91,3,0,2219,4,0,1,0
1,28,0,0,304,2,0,0,0
0,0,0,0,129,2,0,0,0
2,216,3,2,1354,10,0,1,1
1,163,0,1,384,4,0,0,0
2,347,1,7,1066,5,1,0,1
0,0,1,2,2385,5,0,0,0
0,83,2,2,5976,4,0,0,0
2,128,2,1,3144,5,0,0,1
0,60,0,0,557,2,0,0,0
1,258,2,8,1586,5,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,80,4,1,3427,6,2,0,0
2,215,1,8,2743,5,0,0,1
1,100,0,1,821,8,0,1,0
0,84,0,0,21,2,0,0,0
2,250,3,8,1171,3,0,0,1
0,31,0,0,119,3,0,0,0
0,138,0,0,430,6,0,0,0
0,93,0,0,181,3,0,0,0
4,295,3,2,2169,6,0,2,1
0,0,0,0,29,0,0,0,0
3,257,3,8,611,5,0,1,1
1,75,3,7,2906,4,0,0,0
0,43,0,0,82,1,0,0,0
0,0,0,0,0,4,0,0,0
0,361,4,1,3301,2,1,0,1
1,0,1,1,1128,5,0,0,0
3,339,4,19,1708,6,1,2,1
0,0,0,0,94,2,0,0,0
0,51,0,0,199,4,0,0,0
1,119,2,8,452,3,0,0,0
0,0,0,0,13,1,0,0,0
0,61,0,0,143,4,0,0,0
0,26,1,1,1500,5,0,0,0
0,100,0,0,245,1,0,0,0
0,0,0,0,0,0,0,0,0
1,100,0,0,153,2,0,0,0
0,0,0,0,0,0,0,0,0
1,177,1,1,174,2,0,0,0
1,53,0,0,574,5,1,0,0
0,86,0,0,125,2,0,0,0
0,99,0,0,125,4,0,0,0
1,100,0,0,1673,5,0,0,0
0,0,2,0,5256,6,0,0,0
1,204,1,1,3524,6,1,0,0
0,0,0,0,77,1,0,0,0
1,264,2,7,415,6,0,0,0
0,0,0,0,304,2,0,0,0
3,192,2,1,692,3,0,0,1
0,0,3,3,1966,5,2,0,0
0,57,0,0,127,1,0,0,0
0,0,1,0,730,4,0,0,0
0,32,0,0,76,4,0,0,0
0,0,0,0,37,2,0,0,0
0,0,0,0,50,1,0,0,0
1,70,0,1,0,5,0,1,0
1,126,1,3,364,4,0,0,0
0,0,0,0,221,1,0,0,0
3,310,2,4,1527,4,0,0,1
4,487,4,7,3191,6,1,1,1
1,183,0,1,142,2,1,0,0
1,188,0,0,100,2,0,1,0
0,0,0,0,357,3,0,0,0
1,120,2,2,979,3,0,1,0
0,176,1,0,155,4,0,0,0
1,17,0,0,37,1,0,0,0
1,308,1,1,1965,6,1,0,1
0,0,0,0,0,0,0,0,0
